11:57:53   headertext name icuscreline    Value:
11:57:53   headertext name id    Value:
11:57:53   headertext name ufts    Value:
11:57:53   headertext name ccrechppass    Value:
11:57:53   headertext name clowpricepass    Value:
11:57:53   headertext name bcontinue    Value:
11:57:53   headertext name fstockquan    Value:
11:57:53   headertext name fcanusequan    Value:
11:57:53   headertext name cdefine2    Value:
11:57:53   headertext name cdefine3    Value:
11:57:53   headertext name cdefine4    Value:
11:57:53   headertext name cdefine5    Value:
11:57:53   headertext name cdefine6    Value:
11:57:53   headertext name cdefine7    Value:
11:57:53   headertext name cdefine8    Value:
11:57:53   headertext name cdefine9    Value:
11:57:53   headertext name cdefine10    Value:
11:57:53   headertext name cdefine11    Value:
11:57:53   headertext name cdefine12    Value:
11:57:53   headertext name cdefine13    Value:
11:57:53   headertext name cdefine14    Value:
11:57:53   headertext name cdefine15    Value:
11:57:53   headertext name cdefine16    Value:
11:57:53   headertext name ccushand    Value:
11:57:53   headertext name cpsnophone    Value:
11:57:53   headertext name cpsnmobilephone    Value:
11:57:53   headertext name cofficephone    Value:
11:57:53   headertext name cmobilephone    Value:
11:57:53   headertext name clocker    Value:
11:57:53   headertext name caddcode    Value:
11:57:53   headertext name cdeliverunit    Value:
11:57:53   headertext name ccontactname    Value:
11:57:53   headertext name ccreditcuscode    Value:
11:57:53   headertext name ccreditcusname    Value:
11:57:53   headertext name iverifystate    Value:
11:57:53   headertext name ireturncount    Value:
11:57:53   headertext name icreditstate    Value:
11:57:53   headertext name iswfcontrolled    Value:
11:57:53   headertext name fstockquanO    Value:
11:57:53   headertext name fcanusequanO    Value:
11:57:53   headertext name dverifysystime    Value:
11:57:53   headertext name dverifydate    Value:
11:57:53   headertext name ccloser    Value:
11:57:53   headertext name cverifier    Value:
11:57:53   headertext name cmaker    Value:
11:57:53   sKey     _CUSTDEFbtntest
11:57:53   VarentValue      测试数据
11:59:26   Function:->RunCommand is true   
11:59:31   objLogin.cAcc_Id    001
11:59:36   objForm.Name    frmBillVouchNew
12:06:19   自动化错误
12:23:13   Function:->RunCommand is true   
12:23:14   objLogin.cAcc_Id    001
12:31:55   Function:->Init is true   
12:31:55   msbar.buttons(1).Key   add
12:31:55   msbar.buttons(1).Caption   增加
12:31:55   msbar.buttons(2).Key   print
12:31:55   msbar.buttons(2).Caption   打印
12:31:55   msbar.buttons(3).Key   modify
12:31:55   msbar.buttons(3).Caption   修改
12:31:55   msbar.buttons(4).Key   preview
12:31:55   msbar.buttons(4).Caption   预览
12:31:55   msbar.buttons(5).Key   delete
12:31:55   msbar.buttons(5).Caption   删除
12:31:55   msbar.buttons(6).Key   output
12:31:55   msbar.buttons(6).Caption   输出
12:31:55   msbar.buttons(7).Key   outputandemail
12:31:55   msbar.buttons(7).Caption   邮件
12:31:55   msbar.buttons(8).Key   refervouch
12:31:55   msbar.buttons(8).Caption   生单
12:31:55   msbar.buttons(9).Key   tofirst
12:31:55   msbar.buttons(9).Caption   首张
12:31:55   msbar.buttons(10).Key   copy
12:31:55   msbar.buttons(10).Caption   复制
12:31:55   msbar.buttons(11).Key   toprevious
12:31:55   msbar.buttons(11).Caption   上张
12:31:55   msbar.buttons(12).Key   tonext
12:31:55   msbar.buttons(12).Caption   下张
12:31:55   msbar.buttons(13).Key   draft
12:31:55   msbar.buttons(13).Caption   草稿
12:31:55   msbar.buttons(14).Key   tolast
12:31:55   msbar.buttons(14).Caption   末张
12:31:55   msbar.buttons(15).Key   release
12:31:55   msbar.buttons(15).Caption   释放
12:31:55   msbar.buttons(16).Key   template
12:31:55   msbar.buttons(16).Caption   模板
12:31:55   msbar.buttons(17).Key   save
12:31:55   msbar.buttons(17).Caption   保存
12:31:55   msbar.buttons(18).Key   _CUSTDEFbtntest
12:31:55   msbar.buttons(18).Caption   测试
12:31:55   msbar.buttons(19).Key   cancel
12:31:55   msbar.buttons(19).Caption   放弃
12:31:55   msbar.buttons(20).Key   resubmit
12:31:55   msbar.buttons(20).Caption   重新提交
12:31:55   msbar.buttons(21).Key   submit
12:31:55   msbar.buttons(21).Caption   提交
12:31:55   msbar.buttons(22).Key   unsubmit
12:31:55   msbar.buttons(22).Caption   撤销
12:31:56   msbar.buttons(23).Key   verify
12:31:56   msbar.buttons(23).Caption   审核
12:31:56   msbar.buttons(24).Key   unverify
12:31:56   msbar.buttons(24).Caption   弃审
12:31:56   msbar.buttons(25).Key   viewverify
12:31:56   msbar.buttons(25).Caption   查审
12:31:56   msbar.buttons(26).Key   closeorder
12:31:56   msbar.buttons(26).Caption   关闭
12:31:56   msbar.buttons(27).Key   openorder
12:31:56   msbar.buttons(27).Caption   打开
12:31:56   msbar.buttons(28).Key   lock
12:31:56   msbar.buttons(28).Caption   锁定
12:31:56   msbar.buttons(29).Key   checkstock
12:31:56   msbar.buttons(29).Caption   可用量
12:31:56   msbar.buttons(30).Key   unlock
12:31:56   msbar.buttons(30).Caption   解锁
12:31:56   msbar.buttons(31).Key   changeorder
12:31:56   msbar.buttons(31).Caption   变更
12:31:56   msbar.buttons(32).Key   addline
12:31:56   msbar.buttons(32).Caption   增行
12:31:56   msbar.buttons(33).Key   delline
12:31:56   msbar.buttons(33).Caption   删行
12:31:56   msbar.buttons(34).Key   insertline
12:31:56   msbar.buttons(34).Caption   插行
12:31:56   msbar.buttons(35).Key   fetchprice
12:31:56   msbar.buttons(35).Caption   取价
12:31:56   msbar.buttons(36).Key   attached
12:31:56   msbar.buttons(36).Caption   附件
12:31:56   msbar.buttons(37).Key   formatsetup
12:31:56   msbar.buttons(37).Caption   格式设置
12:31:56   msbar.buttons(38).Key   savelayout
12:31:56   msbar.buttons(38).Caption   保存布局
12:31:56   msbar.buttons(39).Key   pricehistory
12:31:56   msbar.buttons(39).Caption   价格
12:31:56   msbar.buttons(40).Key   locate
12:31:56   msbar.buttons(40).Caption   定位
12:31:56   msbar.buttons(41).Key   refresh
12:31:56   msbar.buttons(41).Caption   刷新
12:31:56   msbar.buttons(42).Key   billrelation
12:31:56   msbar.buttons(42).Caption   关联查询
12:31:56   msbar.buttons(43).Key   help
12:31:56   msbar.buttons(43).Caption   帮助
12:32:06   Function:->RunCommand is true   
12:32:43   Function:->Init is true   
12:32:43   msbar.buttons(1).Key   add
12:32:43   msbar.buttons(1).Caption   增加
12:32:43   msbar.buttons(2).Key   print
12:32:43   msbar.buttons(2).Caption   打印
12:32:43   msbar.buttons(3).Key   modify
12:32:43   msbar.buttons(3).Caption   修改
12:32:43   msbar.buttons(4).Key   preview
12:32:43   msbar.buttons(4).Caption   预览
12:32:43   msbar.buttons(5).Key   delete
12:32:43   msbar.buttons(5).Caption   删除
12:32:43   msbar.buttons(6).Key   output
12:32:43   msbar.buttons(6).Caption   输出
12:32:43   msbar.buttons(7).Key   outputandemail
12:32:43   msbar.buttons(7).Caption   邮件
12:32:43   msbar.buttons(8).Key   refervouch
12:32:43   msbar.buttons(8).Caption   生单
12:32:43   msbar.buttons(9).Key   tofirst
12:32:43   msbar.buttons(9).Caption   首张
12:32:43   msbar.buttons(10).Key   copy
12:32:43   msbar.buttons(10).Caption   复制
12:32:43   msbar.buttons(11).Key   toprevious
12:32:43   msbar.buttons(11).Caption   上张
12:32:43   msbar.buttons(12).Key   tonext
12:32:43   msbar.buttons(12).Caption   下张
12:32:43   msbar.buttons(13).Key   draft
12:32:43   msbar.buttons(13).Caption   草稿
12:32:43   msbar.buttons(14).Key   tolast
12:32:43   msbar.buttons(14).Caption   末张
12:32:43   msbar.buttons(15).Key   release
12:32:43   msbar.buttons(15).Caption   释放
12:32:43   msbar.buttons(16).Key   template
12:32:43   msbar.buttons(16).Caption   模板
12:32:43   msbar.buttons(17).Key   save
12:32:43   msbar.buttons(17).Caption   保存
12:32:43   msbar.buttons(18).Key   _CUSTDEFbtntest
12:32:43   msbar.buttons(18).Caption   测试
